,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
157,141y1FjVBV5IY7Mlvw5poL,HipHop,0.734,0.648,4,-5.509,1,0.173,0.124,0.0,0.215,0.672,97.984,222640,4,https://p.scdn.co/mp3-preview/5d5806d41119c1d03df34acaaf82c6dadcd0919d?cid=b1b7bb35faa34eac9690da4b561aa86f
158,7kSBvPr9it26XjylB5LJkx,HipHop,0.722,0.579,0,-6.339,0,0.15,0.0952,0.0,0.261,0.544,157.001,174296,4,https://p.scdn.co/mp3-preview/d1a052dc4df46dceaa11f71874fefb07c2bab487?cid=b1b7bb35faa34eac9690da4b561aa86f
159,09VW2o6EHSWwzCdhW4ARU1,HipHop,0.858,0.58,5,-5.897,0,0.118,0.0115,0.0,0.0788,0.847,94.984,142831,4,https://p.scdn.co/mp3-preview/4714a343abb61f0b5d02a2721a646965af4abdab?cid=b1b7bb35faa34eac9690da4b561aa86f
160,0ydoqpTVhaDzjDg7WVcg4m,HipHop,0.887,0.397,9,-8.261,0,0.14,0.837,0.421,0.0772,0.469,99.983,163190,4,https://p.scdn.co/mp3-preview/1480c525cc9be5a2ec4fbf238e366d35a862580c?cid=b1b7bb35faa34eac9690da4b561aa86f
161,42VsgItocQwOQC3XWZ8JNA,HipHop,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,191701,4,https://p.scdn.co/mp3-preview/4b0178cf6991f59db18e12e2219ff11e27474b0a?cid=b1b7bb35faa34eac9690da4b561aa86f
162,3dX2DItyqF78yNhPJZakmM,HipHop,0.641,0.745,9,-4.883,0,0.119,0.123,0.0,0.176,0.32,73.02,120105,4,
163,6cViXqp01e3FrAaseuiSAV,HipHop,0.676,0.608,9,-4.972,0,0.0329,0.213,0.0,0.104,0.118,119.993,262230,4,
164,3kfhS2L56Wj8fBcu7xE47H,HipHop,0.544,0.496,0,-12.032,1,0.21,0.13,0.0,0.166,0.314,103.148,203442,5,https://p.scdn.co/mp3-preview/f200e74af77bc4641c95959d244b9e28441d1eb1?cid=b1b7bb35faa34eac9690da4b561aa86f
165,08XzbojBXDW2GOGKQXt1ga,HipHop,0.737,0.64,1,-5.443,1,0.152,0.128,0.0,0.0982,0.616,90.039,160160,4,https://p.scdn.co/mp3-preview/b9751dde3efa806223dc1f2d02475b079a1f0e8d?cid=b1b7bb35faa34eac9690da4b561aa86f
166,17wZ58uIxULAVELzhEURni,HipHop,0.872,0.93,8,-4.666,1,0.186,0.0873,0.00113,0.126,0.866,88.476,240080,4,https://p.scdn.co/mp3-preview/5cfeeb17dccaa55d84544507ee7cac5784f2a19a?cid=b1b7bb35faa34eac9690da4b561aa86f
